timestamp,kwh
2024-01-01 00:00,20
2024-01-01 01:00,19
2024-01-01 02:00,18
2024-01-01 03:00,17
2024-01-01 04:00,15
2024-01-01 05:00,18
2024-01-01 06:00,25
2024-01-01 07:00,28
2024-01-01 08:00,34
2024-01-01 09:00,40
2024-01-01 10:00,45
2024-01-01 11:00,48
2024-01-01 12:00,50
2024-01-01 13:00,49
2024-01-01 14:00,46
2024-01-01 15:00,44
2024-01-01 16:00,41
2024-01-01 17:00,39
2024-01-01 18:00,37
2024-01-01 19:00,34
2024-01-01 20:00,31
2024-01-01 21:00,29
2024-01-01 22:00,26
2024-01-01 23:00,22
2024-01-02 00:00,21
2024-01-02 01:00,20
2024-01-02 02:00,19
2024-01-02 03:00,17
2024-01-02 04:00,15
2024-01-02 05:00,19
2024-01-02 06:00,24
2024-01-02 07:00,29
